product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,size,variation_type,variation_value,variation_desc,ingredients,price_usd,value_price_usd,sale_price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,highlights,primary_category,secondary_category,tertiary_category,child_count,child_max_price,child_min_price,hype_label
P483139,The Cape Perfume,6485,ABBOTT,3118,4.6111,18.0,1.7 oz / 50 mL,Size + Concentration + Formulation,1.7 oz / 50 mL eau de parfum spray,,"['Water, Denatured Ethyl Alcohol, Fragrance, (3r,3as,6s,7r,8as)-6-Methoxy-3,6,8,8-Tetramethyloctahydro-1h-3a,7-Methanoazulene, 2,6-Dimethyl-7-Octen-2-Ol, 2-T-Butylcyclohexyl Acetate, 6,6-Dimethoxy-2,5,5-Trimethylhex-2-Ene, Butylphenyl Methylpropional, Citronellol, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Isobutyl Methyl Tetrahydropyranol, Linalool, Linalyl Acetate, Methyldihydrojasmonate, Methylenedioxyphenyl Methylpropanal, Pentadecalactone, Tetramethyl Acetyloctahydronaphthalenes, Vetiveria Zizanoides Root Oil.']",84.0,,,0,0,1,0,0,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Fresh Scent', 'Without Parabens', 'Without Phthalates']",Fragrance,Women,Perfume,1,29.0,29.0,underrated
P483080,Crescent Beach Perfume Travel Spray,6485,ABBOTT,1957,4.7778,9.0,0.33 oz / 10 mL eau de parfum spray,Size + Concentration + Formulation,0.33 oz / 10 mL eau de parfum spray,,,29.0,,,0,0,0,0,0,"['Vegan', 'Clean + Planet Positive', 'Fresh Scent', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']",Fragrance,Women,Rollerballs & Travel Size,0,,,underrated
P483079,Crescent Beach Perfume,6485,ABBOTT,1608,4.5882,17.0,1.7 oz / 50 mL,Size + Concentration + Formulation,1.7 oz / 50 mL,,"['Water, Denatured ethyl alcohol, Fragrance, (10z)-1-oxacycloheptadec-10-en-2-one, 1-methyl-4-(4-methylpent-3-enyl)cyclohex-3-ene-1-carbaldehyde, 2,4-dimethyl-4,4a,5,9b-tetrahydroindeno[1,2-d][1,3]dioxine, Alpha-isomethyl ionone, Cyclamen aldehyde, Dihydro pentamethylindanone, Dimethylcyclohexylethoxy isobutylpropanoate, Ethyl linalool, Ethylene brassylate, Ethylene dodecanedioate, Isobutyl methyl tetrahydropyranol, Methyldihydrojasmonate, Methylenedioxyphenyl methylpropanal, Phenethyl alcohol.']",84.0,,,0,0,0,0,0,"['Vegan', 'Clean + Planet Positive', 'Fresh Scent', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']",Fragrance,Women,Perfume,1,29.0,29.0,underrated
P483130,Sequoia Perfume,6485,ABBOTT,1322,4.619,21.0,1.7 oz / 50 mL,Size + Concentration + Formulation,1.7 oz / 50 mL eau de parfum spray,,"['Water, Denatured Ethyl Alcohol, Fragrance, (3r-(3a,3ab,7b,8aa))-1-(2,3,4,7,8,8a-Hexahydro-3,6,8,8-Tetramethyl-1h-3a,7-Methanoazulen-5-Yl)Ethan-1-One, (4e)-3-Methyl-5-(2,2,3-Trimethylcyclopent-3-En-1-Yl)Pent-4-En-2-Ol, (Ethoxymethoxy)Cyclododecane, Juniperus Virginiana Wood Oil, Dihydro Pentamethylindanone, Dipropylene Glycol, Ethylene Brassylate, Linalyl Acetate, Methoxytrimethylheptanol, Methyldihydrojasmonate, Tetramethyl Acetyloctahydronaphthalenes, Trimethylcyclopentenyl Dimethylisopentenol.']",84.0,,,0,0,0,0,0,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Woody & Earthy Scent', 'Without Parabens', 'Without Phthalates']",Fragrance,Women,Perfume,1,29.0,29.0,underrated
P483108,Mojave Perfume Travel Spray,6485,ABBOTT,1137,4.7143,7.0,0.33 oz / 10 mL eau de parfum spray,Size + Concentration + Formulation,0.33 oz / 10 mL eau de parfum spray,,,29.0,,,0,0,1,0,0,"['Vegan', 'Woody & Earthy Scent', 'Clean + Planet Positive', 'Without Phthalates', 'Without Parabens', 'Cruelty-Free']",Fragrance,Women,Rollerballs & Travel Size,0,,,underrated
P483071,Big Sky Eau de Parfum,6485,ABBOTT,966,4.625,8.0,1.7 oz / 50 mL,Size + Concentration + Formulation,1.7 oz / 50 mL eau de parfum spray,,"['Water, Denatured ethyl alcohol, Fragrance, 1-(2,2,6-trimethylcyclohexyl)hexan-3-ol, 4-(1-ethoxyethenyl)-3,3,5,5-tetramethylcyclohexan-1-one, Cedrus atlantica wood oil, Dihydro pentamethylindanone, Dipropylene glycol, Ethylene brassylate, Tetramethyl acetyloctahydronaphthalenes.']",84.0,,,0,0,0,0,0,"['Clean + Planet Positive', 'Vegan', 'Cruelty-Free', 'Woody & Earthy Scent', 'Without Parabens', 'Without Phthalates']",Fragrance,Women,Perfume,2,29.0,28.0,underrated
P456550,Yuzu Eau de Parfum,5847,Acqua di Parma,1953,4.6667,6.0,0.7 oz/ 20 mL,Size + Concentration + Formulation,0.7 oz/ 20 mL,,"['Alcohol Denat., Aqua (Water), Parfum (Fragrance), Limonene, Ethylhexyl Methoxycinnamate, Alpha-Isomethyl Ionone, Benzyl Salicylate, Linalool, Hexyl Cinnamal, Hydroxycitronellal, Butyl Methoxydibenzoylmethane,  Ethylhexyl Salicylate, Citral, Bht, Geraniol, Citronellol, Tocopherol.']",135.0,,,0,0,1,0,0,,Fragrance,Women,Perfume,0,,,underrated
P269110,Colonia Essenza,5847,Acqua di Parma,1638,4.5333,15.0,1.7 oz/ 50 mL,Size + Concentration + Formulation,1.7 oz/ 50 mL,,"['Alcohol Denat., Water, Fragrance, Limonene, Hydroxycitronellal, Linalool, Ethylhexylmethoxycinnamate, Benzylsalicylate, Citral, Coumarin, Butylmethoxydibenzoylmethane, Ethylhexylsalicylate, Eugenol, Bht, Alpha-Isomethylionone, Geraniol, Benzylbenzoate, Amylcinnamal, Everniaprunastri (Oakmoss) Extract, Farnesol, Citronellol.']",130.0,,,0,0,1,0,0,,Fragrance,Men,Cologne,1,181.0,181.0,underrated
P448830,Buongiorno Diffuser,5847,Acqua di Parma,1162,4.625,8.0,6 oz/ 180 mL,,,,,112.0,,,0,0,1,0,0,,Fragrance,Candles & Home Scents,Diffusers,0,,,underrated
P422289,Colonia Pura,5847,Acqua di Parma,840,4.5714,7.0,1.7 oz/ 50 mL,Size + Concentration + Formulation,1.7 oz/ 50 mL Eau de Cologne Spray,,"['Alcohol Denat., Water, Fragrance, Limonene, Hexylcinnamal, Linalool, Alpha-Isomethylionone, Citral, Coumarin, Bht, Geraniol, Citronellol, Tocopherol.']",130.0,,,0,0,1,0,0,,Fragrance,Women,Perfume,1,181.0,181.0,underrated
